State,Socioeconomic_Status,Test,Score
AL,-0.5161525,Math,4.471718714700844
AL,-0.5161525,RLA,5.122493967997396
AK,0.24450943,Math,5.287547422384782
AK,0.24450943,RLA,4.941498888125452
AZ,-0.15385793,Math,5.220118044686846
AZ,-0.15385793,RLA,5.063696680357256
AR,-0.48807991,Math,5.102588293239039
AR,-0.48807991,RLA,5.207793473968971
CA,0.12760414,Math,4.78585404281749
CA,0.12760414,RLA,4.859268693836653
CO,0.45670262,Math,6.053946514341199
CO,0.45670262,RLA,6.046427565449533
CT,0.34419465,Math,5.767964758484393
CT,0.34419465,RLA,6.271217957298435
DE,0.08758869,Math,5.437541415747205
DE,0.08758869,RLA,5.657875507178363
FL,-0.23089242,Math,5.542331469588362
FL,-0.23089242,RLA,5.869966496089851
GA,-0.29701236,Math,5.247102046808919
GA,-0.29701236,RLA,5.407969132799788
HI,0.49656326,Math,5.281611481513393
HI,0.49656326,RLA,4.994757580832174
ID,0.061447971,Math,5.656818148178044
ID,0.061447971,RLA,5.710976145765159
IL,0.0029060561,Math,5.428662670564685
IL,0.0029060561,RLA,5.585370252478465
IN,-0.11553894,Math,6.039214414520425
IN,-0.11553894,RLA,5.884740709492067
IA,0.23728362,Math,5.81780724014361
IA,0.23728362,RLA,5.746220497056133
KS,0.25979853,Math,5.927177045486043
KS,0.25979853,RLA,5.765121925972251
KY,-0.51108259,Math,5.423340344580584
KY,-0.51108259,RLA,5.783179464081304
LA,-0.71895456,Math,4.577190143264323
LA,-0.71895456,RLA,4.780074820092113
ME,-0.050966203,Math,5.860356281949635
ME,-0.050966203,RLA,5.851644094335342
MD,0.43478894,Math,5.72992123029243
MD,0.43478894,RLA,5.867306751110749
MA,0.34094843,Math,6.726134488511898
MA,0.34094843,RLA,6.641198586961615
MI,-0.36452952,Math,5.112234318793086
MI,-0.36452952,RLA,5.337599376807899
MN,0.48806956,Math,6.556193492951003
MN,0.48806956,RLA,5.945001091369834
MS,-0.96472603,Math,4.625682877213368
MS,-0.96472603,RLA,4.755933928400107
MO,-0.14273666,Math,5.499825655787683
MO,-0.14273666,RLA,5.730660376869556
MT,0.11868019,Math,5.921101894071022
MT,0.11868019,RLA,5.872164030703366
NE,0.32194757,Math,5.803415306933596
NE,0.32194757,RLA,5.837295013423375
NV,-0.11037563,Math,4.993851217011596
NV,-0.11037563,RLA,4.991275485257538
NH,0.6535688,Math,6.50367076736209
NH,0.6535688,RLA,6.392912832304173
NJ,0.4623552,Math,6.329160620962995
NJ,0.4623552,RLA,6.367824427153177
NM,-0.51698148,Math,4.594566584660027
NM,-0.51698148,RLA,4.482764567293839
NY,-0.12017114,Math,5.443160837085443
NY,-0.12017114,RLA,5.836621441825112
NC,-0.27084145,Math,5.769878325795706
NC,-0.27084145,RLA,5.595529068676366
ND,0.48643711,Math,6.006595292902245
ND,0.48643711,RLA,5.699887983438788
OH,-0.25156122,Math,5.856197842718892
OH,-0.25156122,RLA,5.826131965160281
OK,-0.23370185,Math,5.081439790727262
OK,-0.23370185,RLA,5.214600768865632
OR,-0.18272804,Math,5.295146710969783
OR,-0.18272804,RLA,5.428998894810656
PA,-0.0071561523,Math,5.89155729350046
PA,-0.0071561523,RLA,5.991616521133757
RI,-0.065547414,Math,5.439916348329486
RI,-0.065547414,RLA,5.694850492746161
SC,-0.43406051,Math,5.128194356753193
SC,-0.43406051,RLA,5.059914620301231
SD,0.18933327,Math,5.688852106921605
SD,0.18933327,RLA,5.520111828916201
TN,-0.42103118,Math,5.086063387321409
TN,-0.42103118,RLA,5.199526681765605
TX,-0.15139385,Math,5.73978446014051
TX,-0.15139385,RLA,5.109415423631559
UT,0.51024628,Math,5.755321906345978
UT,0.51024628,RLA,5.829160510334184
VT,0.27379227,Math,6.147193051052806
VT,0.27379227,RLA,6.274259414552263
VA,0.42713326,Math,6.060873031148653
VA,0.42713326,RLA,5.971211870275461
WA,0.20264715,Math,5.867004317085605
WA,0.20264715,RLA,5.734666467130128
WV,-0.55083638,Math,4.86883999479936
WV,-0.55083638,RLA,5.02965102263719
WI,0.17172676,Math,5.940858745709468
WI,0.17172676,RLA,5.709784794457994
WY,0.48394704,Math,6.029336474502867
WY,0.48394704,RLA,6.018659850244262
