fips,stateabb,gcs_mn_avg_mth_ol,gcs_mn_avg_rla_ol,urban,suburb,town,rural,perind,perasn,perhsp,perblk,perwht,perfrl,totenrl,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,perecd,sesavgall,sesavgwht,sesavgblk,sesavghsp,sesavgnam
1,AL,4.471718714700844,5.122493967997396,0.28263021,0.21682583,0.11730432,0.38323963,0.0088268733,0.013806097,0.058654107,0.33805665,0.58065629,0.5700587,340913.55,0.43758687,0.24551085,0.15345727,0.19065021,0.48720545,0.20979917,0.19154552,0.22386198,0.591097,-0.5161525,0.21240503,-2.4988067,-1.0877159,-0.70438427
2,AK,5.287547422384782,4.941498888125452,0.46196353,0.052186187,0.21055274,0.27529755,0.24914575,0.072262928,0.077312827,0.041471004,0.55980748,0.46381396,58802.77777777778,0.23640087,0.15599909,0.19045025,0.21652077,0.17166664,0.1354546,0.23546982,0.25163117,0.48595855,0.24450943,0.84263551,-0.67371684,-0.12059748,-2.1808875
4,AZ,5.220118044686846,5.063696680357256,0.50261849,0.26987219,0.10708376,0.12042557,0.049109228,0.029540118,0.4457013,0.05487366,0.42077571,0.53453499,504932.6,0.25314298,0.33216596,0.25306714,0.31991071,0.23782085,0.39236802,0.30351928,0.36945686,0.56536865,-0.15385793,0.47681344,-1.3590043,-1.2289177,-2.716738
5,AR,5.102588293239039,5.207793473968971,0.3031477,0.13132448,0.24805811,0.31746972,0.0070173256,0.015442635,0.11592731,0.21031766,0.65129507,0.57084107,219154.8,0.47162262,0.27520812,0.1201736,0.15998253,0.49512702,0.27650589,0.1491759,0.1802271,0.63398433,-0.48807991,-0.0024594276,-2.7206647,-1.0230125,-0.93081141
6,CA,4.78585404281749,4.859268693836653,0.47342676,0.41856644,0.062451672,0.045555145,0.0063748043,0.11898289,0.5456062,0.063661888,0.26537421,0.58773178,2798108.3,0.41522926,0.36986953,0.24332036,0.33311227,0.44060495,0.41161039,0.29814953,0.3781369,0.62681878,0.12760414,0.76377201,-1.4612825,-0.76961112,-1.0555909
8,CO,6.053946514341199,6.046427565449533,0.39068237,0.41508877,0.094199076,0.10002977,0.0085538039,0.033519488,0.32924584,0.049981542,0.57869935,0.42318875,387286.8,0.3786625,0.27996117,0.24445048,0.27503195,0.33223885,0.33829689,0.29011941,0.33169153,0.43816003,0.45670262,0.86148953,-1.2432561,-0.87118822,-1.2977324
9,CT,5.767964758484393,6.271217957298435,0.28400624,0.56004363,0.039026808,0.11692332,0.0030955537,0.048829474,0.21225592,0.12947764,0.60634142,0.35965595,243085.95,0.45554385,0.37329692,0.32048163,0.33622047,0.4747397,0.42184868,0.36559397,0.38782334,0.37549591,0.34419465,0.92574656,-1.831755,-1.8621778,-1.5852503
10,DE,5.437541415747205,5.657875507178363,0.081465743,0.56542552,0.17852184,0.17458691,0.0042168354,0.036167562,0.148351,0.32325336,0.48801124,0.48385152,59856.55,0.1764131,0.19683148,0.13992922,0.13370153,0.21110635,0.22305289,0.1702349,0.16530651,0.48870015,0.08758869,0.59491199,-1.3936523,-1.0568947,-1.5796851
12,FL,5.542331469588362,5.869966496089851,0.12070195,0.76692969,0.032313742,0.080054611,0.0034261881,0.027214529,0.30799285,0.23112155,0.43024486,0.59041107,1235675.75,0.3464914,0.30809647,0.16897494,0.19930106,0.40034819,0.36581603,0.21050552,0.23749943,0.61309433,-0.23089242,0.36668599,-1.9996109,-0.85869414,-0.98453808
13,GA,5.247102046808919,5.407969132799788,0.16821739,0.46486732,0.084162004,0.28275326,0.0021324353,0.037586242,0.13967815,0.37787327,0.44272989,0.61506444,781962.7,0.39870933,0.30717492,0.2329898,0.29011217,0.4538669,0.35113779,0.28047132,0.32212648,0.61878401,-0.29701236,0.47183746,-1.866565,-0.85943204,-1.0090493
15,HI,5.281611481513393,4.994757580832174,0,1,0,0,0.0076053813,0.56768525,0.17466423,0.030428626,0.21961652,0.49636945,83830.2,0.17357935,0.13590354,0.12253064,0.1424977,0.12413579,0.16014683,0.15254016,0.17931662,0.52221727,0.49656326,0.91412139,0.45828199,-0.30537039,-0.66083753
16,ID,5.656818148178044,5.710976145765159,0.25376445,0.26873267,0.24829954,0.22920334,0.013842941,0.013625376,0.17100613,0.010740154,0.79078537,0.4876909,132836,0.1450471,0.16948029,0.096964151,0.16879301,0.035019875,0.16758612,0.12071443,0.18971793,0.53565174,0.061447971,0.25571081,-1.4596825,-1.1255528,-1.7971084
17,IL,5.428662670564685,5.585370252478465,0.30113077,0.48658243,0.10564328,0.10664351,0.002978785,0.047422267,0.25086832,0.17975357,0.51897705,0.52015471,907812.25,0.61433989,0.4798559,0.28290394,0.33094132,0.65387249,0.53538716,0.33700281,0.38495189,0.51457328,0.0029060561,0.62691855,-2.6847007,-0.74302632,-0.92221421
18,IN,6.039214414520425,5.884740709492067,0.31787279,0.27573276,0.15147877,0.25491568,0.0025677835,0.02028273,0.10486133,0.12969099,0.74259716,0.49308798,475726,0.50915557,0.28327608,0.1551248,0.15875617,0.51408041,0.27337801,0.19349097,0.19909053,0.48111328,-0.11553894,0.2087611,-2.5611985,-1.0681024,-1.049989
19,IA,5.81780724014361,5.746220497056133,0.30086672,0.10391077,0.26152766,0.33369485,0.0044655968,0.023470853,0.099445954,0.058572784,0.81404483,0.41122922,214915,0.29145411,0.24142414,0.12572293,0.14342391,0.21491139,0.21659589,0.15457365,0.17922352,0.41414195,0.23728362,0.43020147,-2.9592888,-1.1723117,-1.9974108
20,KS,5.927177045486043,5.765121925972251,0.26644036,0.19803682,0.28540316,0.25011966,0.011694406,0.028194366,0.18559381,0.07773605,0.69678134,0.4933472,214700.8888888889,0.33828348,0.3073056,0.19161673,0.21549132,0.30810592,0.34106392,0.23197186,0.26158279,0.48571834,0.25979853,0.55191338,-1.968364,-0.81064397,-1.0511239000000001
21,KY,5.423340344580584,5.783179464081304,0.20136915,0.19610114,0.250543,0.35198671,0.0013440396,0.015566465,0.05237614,0.10933486,0.82137847,0.5766331,302277.05,0.34369752,0.19071659,0.092935756,0.11606665,0.29681629,0.12642868,0.11949742,0.14447168,0.5952096,-0.51108259,-0.29912204,-2.5094481,-1.202405,-1.8833704
22,LA,4.577190143264323,4.780074820092113,0.38466591,0.31145957,0.14548004,0.1583945,0.0078963451,0.01447705,0.047174059,0.45507079,0.47538173,0.66973984,319323.3,0.38730794,0.26391977,0.16406138,0.18972145,0.43999127,0.23236212,0.20069338,0.21155792,0.70050609,-0.71895456,0.22666752,-2.7306485,-0.68009764,-1.2872939
23,ME,5.860356281949635,5.851644094335342,0.12637183,0.16407999,0.18457985,0.52496833,0.0065328884,0.015363502,0.017981978,0.031089898,0.92903172999999994,0.42567572,81762.05,0.31354988,0.13645211,0.096563213,0.11229819,0.19090469,0.031995144,0.11419308,0.14149384,0.44853067,-0.050966203,0.06169707,-3.0362437,-1.0771751,-2.8010459
24,MD,5.72992123029243,5.867306751110749,0.12547244,0.77165359,0.017715655,0.085158288,0.0032696298,0.064560227,0.13219249,0.35946554,0.44051212,0.42929918,379071.8888888889,0.4782497,0.38505995,0.22066917,0.24283923,0.53804845,0.43324089,0.26249191,0.29250866,0.43170911,0.43478894,1.0271795,-0.83694351,0.0014991991,-0.63178658
25,MA,6.726134488511898,6.641198586961615,0.18398359,0.71045113,0.015840653,0.089724645,0.0024639999,0.062844142,0.17398711,0.085827485,0.67487729,0.35861549,427568.9,0.42991701,0.42395267,0.27612397,0.27411515,0.43555817,0.4646157,0.32375416,0.32717136,0.35134712,0.34094843,0.77428663,-1.7018185,-2.3282979,-1.8752606
26,MI,5.112234318793086,5.337599376807899,0.2512866,0.4391664,0.12205812,0.18748891,0.0076973094,0.031568788,0.069226108,0.18871678,0.70279104,0.48644489,688347.25,0.57994318,0.28822708,0.20715186,0.21946886,0.61491084,0.27861604,0.25471014,0.26729077,0.49281836,-0.36452952,0.14895532,-3.0496938,-1.3686396,-1.5164987
27,MN,6.556193492951003,5.945001091369834,0.20313223,0.37080985,0.22165073,0.20440719,0.01889717,0.066482566,0.084203541,0.10204693,0.72836977,0.38018554,377590.45,0.39223164,0.2519086,0.1668714,0.17287427,0.38265699,0.23471311,0.20118357,0.2116262,0.38640144,0.48806956,0.8055653,-2.6957703,-0.92369908,-2.5796216
28,MS,4.625682877213368,4.755933928400107,0.10521165,0.13421339,0.27603686,0.48453808,0.0022272053,0.010014906,0.03016343,0.49245796,0.46513653,0.73383695,222855.3,0.39696157,0.21432528,0.19214557,0.21881865,0.44784388,0.15305698,0.22278811,0.24052542,0.65507704,-0.96472603,0.12933752,-2.8682401,-0.90245831,-2.1119037
29,MO,5.499825655787683,5.730660376869556,0.19709252,0.35176957,0.2120112,0.23912673,0.004405024,0.019882722,0.055343989,0.16921949,0.75114876,0.49852458,408486,0.51768267,0.24309212,0.17613305,0.20154023,0.55116832,0.2036525,0.21501228,0.23893681,0.51572216,-0.14273666,0.22112796,-2.5277874,-0.82834387,-1.2649
30,MT,5.921101894071022,5.872164030703366,0.23803797,0.027730798,0.38849378,0.34573746,0.1198619,0.0087330043,0.041015618,0.010066246,0.82032323,0.45750695,65705.8,0.16384777,0.11641641,0.1529268,0.22145632,0.032380164,0.05763334,0.1882879,0.24060276,0.49904501,0.11868019,0.36621794,-1.1871063,-0.96628529,-2.7146339
31,NE,5.803415306933596,5.837295013423375,0.43057215,0.1000595,0.23324722,0.23612112,0.015049635,0.024313629,0.1738859,0.072207458,0.7145434,0.445656,133624.65,0.39348793,0.32243079,0.18299466,0.20676902,0.35282046,0.34598333,0.22074972,0.25411797,0.46109986,0.32194757,0.62852859,-2.4822278,-0.98401803,-2.8891494
32,NV,4.993851217011596,4.991275485257538,0.58641648,0.32105142,0.06626644,0.026265686,0.01194338,0.06504342,0.42597002,0.11007207,0.38697112,0.55144066,209224.8888888889,0.28088149,0.24398355,0.22281097,0.24453376,0.29518479,0.29989317,0.27000943,0.28816545,0.56294858,-0.11037563,0.36714479,-1.7557005,-0.7511723,-1.6123862
33,NH,6.50367076736209,6.392912832304173,0.13906436,0.35895592,0.15537645,0.3466033,0.0031160964,0.030896034,0.04596965,0.020092014,0.89992619,0.27579674,85426.6,0.17836675,0.21708593,0.13991639,0.13682146,0.061098762,0.13164905,0.1484156,0.15591678,0.2751177,0.6535688,0.72073215,-0.93262881,-0.81062192,-0.75856978
